timeStamp= 1305031790.645155; T[0]= 0.000000000; T[1]= 0.000000000; T[2]= 0.000000000; x= 0.000000000; y=  0.000000000; z=  0.000000000; w= 1.000000000
timeStamp= 1305031790.681207895; T[0]= 0.004600732; T[1]= 0.007214236; T[2]= 0.001692789; x= -0.010448903; y=  0.000142831; z=  0.003224082; w= 0.999940217
timeStamp= 1305031790.713097095; T[0]= 0.008934229; T[1]= 0.012870696; T[2]= 0.004567271; x= -0.021399586; y=  0.000104686; z=  0.006019509; w= 0.999752879
timeStamp= 1305031790.745223045; T[0]= 0.013722905; T[1]= 0.016718430; T[2]= 0.007110808; x= -0.031118887; y=  0.000970450; z=  0.010396664; w= 0.999461174
timeStamp= 1305031790.781258106; T[0]= 0.018626573; T[1]= 0.023546450; T[2]= 0.007802546; x= -0.040308945; y=  0.002656968; z=  0.017450767; w= 0.999031365
timeStamp= 1305031790.813206911; T[0]= 0.024754304; T[1]= 0.030606264; T[2]= 0.007476702; x= -0.053012867; y=  0.003704484; z=  0.025587484; w= 0.998259068
timeStamp= 1305031790.845150948; T[0]= 0.029374551; T[1]= 0.034350082; T[2]= 0.010917923; x= -0.066784717; y=  0.005386281; z=  0.033014439; w= 0.997206569
timeStamp= 1305031790.882093906; T[0]= 0.034176905; T[1]= 0.035365183; T[2]= 0.015472069; x= -0.079196915; y=  0.009709589; z=  0.038449168; w= 0.996069908
timeStamp= 1305031790.913129091; T[0]= 0.039131857; T[1]= 0.038727973; T[2]= 0.016989395; x= -0.086530082; y=  0.015126991; z=  0.045501858; w= 0.995094597
timeStamp= 1305031790.945171118; T[0]= 0.043802403; T[1]= 0.042345524; T[2]= 0.018272711; x= -0.091980122; y=  0.020903371; z=  0.052316613; w= 0.994165838
timeStamp= 1305031790.981158972; T[0]= 0.045069732; T[1]= 0.044520069; T[2]= 0.021821095; x= -0.093546793; y=  0.026924504; z=  0.060652260; w= 0.993400931
timeStamp= 1305031791.013075113; T[0]= 0.047817860; T[1]= 0.035691109; T[2]= 0.029799210; x= -0.090993807; y=  0.033135042; z=  0.068115994; w= 0.992966473
timeStamp= 1305031791.045136929; T[0]= 0.055440288; T[1]= 0.034483850; T[2]= 0.021546602; x= -0.078710034; y=  0.040382598; z=  0.077574000; w= 0.993053973
timeStamp= 1305031791.081293106; T[0]= 0.058385748; T[1]= 0.036101718; T[2]= 0.017803637; x= -0.066410072; y=  0.050787117; z=  0.089809880; w= 0.992443740
timeStamp= 1305031791.113136053; T[0]= 0.058430813; T[1]= 0.028705750; T[2]= 0.017183481; x= -0.046184544; y=  0.066556841; z=  0.095429353; w= 0.992134273
timeStamp= 1305031791.145096064; T[0]= 0.069559634; T[1]= 0.020438606; T[2]= -0.001095172; x= -0.019886022; y=  0.084174618; z=  0.095245227; w= 0.991689205
timeStamp= 1305031791.181287050; T[0]= 0.063492917; T[1]= 0.020932529; T[2]= -0.003124164; x= 0.006209026; y=  0.107190289; z=  0.099825673; w= 0.989194870
timeStamp= 1305031791.213098049; T[0]= 0.064016558; T[1]= 0.007022854; T[2]= -0.007289354; x= 0.033487368; y=  0.127309605; z=  0.097201042; w= 0.986520529
timeStamp= 1305031791.245086908; T[0]= 0.070533730; T[1]= 0.004288492; T[2]= -0.026182642; x= 0.061527036; y=  0.145749032; z=  0.098117709; w= 0.982519507
timeStamp= 1305031791.281339884; T[0]= 0.066108778; T[1]= 0.001578211; T[2]= -0.030058321; x= 0.087375268; y=  0.167357296; z=  0.104005300; w= 0.976493716
timeStamp= 1305031791.313087940; T[0]= 0.070890948; T[1]= -0.012267184; T[2]= -0.039539173; x= 0.116278850; y=  0.186983630; z=  0.107793927; w= 0.969482780
timeStamp= 1305031791.345123053; T[0]= 0.062195480; T[1]= -0.009186978; T[2]= -0.052631471; x= 0.144074023; y=  0.207117215; z=  0.109363265; w= 0.961449325
timeStamp= 1305031791.382160902; T[0]= 0.052333687; T[1]= -0.013917494; T[2]= -0.049459994; x= 0.167140394; y=  0.225725561; z=  0.116713084; w= 0.952622712
timeStamp= 1305031791.413086891; T[0]= 0.048905291; T[1]= -0.019573081; T[2]= -0.053085387; x= 0.195723832; y=  0.238622352; z=  0.121711299; w= 0.943365216
timeStamp= 1305031791.445164919; T[0]= 0.046287008; T[1]= -0.023809806; T[2]= -0.069581389; x= 0.220203295; y=  0.247312203; z=  0.129558042; w= 0.934645295
timeStamp= 1305031791.481374979; T[0]= 0.046188951; T[1]= -0.033487525; T[2]= -0.076650806; x= 0.239522710; y=  0.254876286; z=  0.136947840; w= 0.926775157
timeStamp= 1305031791.513083935; T[0]= 0.042255122; T[1]= -0.043807052; T[2]= -0.083992377; x= 0.259394944; y=  0.260843575; z=  0.138095766; w= 0.919567525
timeStamp= 1305031791.545064926; T[0]= 0.043827742; T[1]= -0.058197390; T[2]= -0.101509131; x= 0.275895298; y=  0.264997154; z=  0.139762148; w= 0.913304329
timeStamp= 1305031791.581126928; T[0]= 0.031119030; T[1]= -0.060753573; T[2]= -0.103317395; x= 0.292925000; y=  0.274020910; z=  0.140579104; w= 0.905176759
timeStamp= 1305031791.613193989; T[0]= 0.031999804; T[1]= -0.072666712; T[2]= -0.113389701; x= 0.305543721; y=  0.278743446; z=  0.140485927; w= 0.899560332
