timeStamp= 1305031453.359684; T[0]= 0.000000000; T[1]= 0.000000000; T[2]= 0.000000000; x= 0.000000000; y=  0.000000000; z=  0.000000000; w= 1.000000000
timeStamp= 1305031453.391690016; T[0]= -0.001802805; T[1]= 0.001604863; T[2]= -0.009151951; x= -0.001920445; y=  0.007995591; z=  0.010555330; w= 0.999910474
timeStamp= 1305031453.423682928; T[0]= 0.005634835; T[1]= 0.005194850; T[2]= -0.016078828; x= -0.000096762; y=  0.010542444; z=  0.019836413; w= 0.999747634
timeStamp= 1305031453.459685087; T[0]= 0.012171257; T[1]= 0.009608243; T[2]= -0.025961090; x= 0.003843824; y=  0.015859229; z=  0.028730184; w= 0.999453962
timeStamp= 1305031453.491698027; T[0]= 0.011425504; T[1]= 0.012110081; T[2]= -0.037026379; x= 0.007293188; y=  0.023958050; z=  0.037965965; w= 0.998965144
timeStamp= 1305031453.523684025; T[0]= 0.010158810; T[1]= 0.018129742; T[2]= -0.050644707; x= 0.014631063; y=  0.029808145; z=  0.046114940; w= 0.998384118
timeStamp= 1305031453.559752941; T[0]= 0.010867677; T[1]= 0.024058955; T[2]= -0.063332267; x= 0.022249665; y=  0.032650530; z=  0.053036809; w= 0.997810602
timeStamp= 1305031453.591639996; T[0]= 0.010511111; T[1]= 0.033894714; T[2]= -0.079464100; x= 0.030993843; y=  0.035343118; z=  0.057327706; w= 0.997248054
timeStamp= 1305031453.627706051; T[0]= 0.002168796; T[1]= 0.039306466; T[2]= -0.093206681; x= 0.037938863; y=  0.038220685; z=  0.060315307; w= 0.996725559
timeStamp= 1305031453.659600019; T[0]= -0.009150550; T[1]= 0.047956519; T[2]= -0.109063916; x= 0.046668369; y=  0.036737956; z=  0.056822743; w= 0.996616066
timeStamp= 1305031453.691678047; T[0]= -0.013007347; T[1]= 0.062965482; T[2]= -0.123177640; x= 0.055753704; y=  0.031220939; z=  0.054468285; w= 0.996468723
timeStamp= 1305031453.727652073; T[0]= -0.024932124; T[1]= 0.072077237; T[2]= -0.134431094; x= 0.060517982; y=  0.028127350; z=  0.049670987; w= 0.996533632
timeStamp= 1305031453.759694099; T[0]= -0.044567101; T[1]= 0.076415166; T[2]= -0.146882728; x= 0.064478591; y=  0.023568282; z=  0.041380715; w= 0.996782184
timeStamp= 1305031453.791716099; T[0]= -0.040753350; T[1]= 0.089209475; T[2]= -0.160184771; x= 0.070379332; y=  0.010044622; z=  0.034237020; w= 0.996881962
timeStamp= 1305031453.827773094; T[0]= -0.049559724; T[1]= 0.095383741; T[2]= -0.168112963; x= 0.072898880; y=  0.003176015; z=  0.028225621; w= 0.996934772
timeStamp= 1305031453.859704971; T[0]= -0.061821532; T[1]= 0.101314008; T[2]= -0.175336525; x= 0.074707858; y=  -0.008853823; z=  0.020515559; w= 0.996955097
timeStamp= 1305031453.891710043; T[0]= -0.078338392; T[1]= 0.107257329; T[2]= -0.188825086; x= 0.073710039; y=  -0.023165476; z=  0.012552364; w= 0.996931612
timeStamp= 1305031453.927722931; T[0]= -0.092110433; T[1]= 0.111474611; T[2]= -0.197301298; x= 0.070533991; y=  -0.041249391; z=  0.008225439; w= 0.996622205
timeStamp= 1305031453.959640980; T[0]= -0.089706950; T[1]= 0.117939636; T[2]= -0.203728795; x= 0.068586998; y=  -0.062846571; z=  0.001492813; w= 0.995662570
timeStamp= 1305031453.991624117; T[0]= -0.105880901; T[1]= 0.117882900; T[2]= -0.213303521; x= 0.065239996; y=  -0.073191479; z=  -0.011167344; w= 0.995119095
timeStamp= 1305031454.027662039; T[0]= -0.117046297; T[1]= 0.123536326; T[2]= -0.215607569; x= 0.068816811; y=  -0.085602641; z=  -0.020226089; w= 0.993744135
timeStamp= 1305031454.059653997; T[0]= -0.126316145; T[1]= 0.129156351; T[2]= -0.220796749; x= 0.070167720; y=  -0.097849950; z=  -0.032116819; w= 0.992204785
