timeStamp= 1305033527.670034; T[0]= 0.000000000; T[1]= 0.000000000; T[2]= 0.000000000; x= 0.000000000; y=  0.000000000; z=  0.000000000; w= 1.000000000
timeStamp= 1305033527.701983929; T[0]= -0.002028433; T[1]= 0.007310843; T[2]= -0.005699623; x= -0.002866393; y=  0.003567131; z=  0.002266927; w= 0.999986947
timeStamp= 1305033527.733905077; T[0]= -0.003924177; T[1]= 0.015344905; T[2]= -0.011209169; x= -0.006670722; y=  0.005697201; z=  0.002920903; w= 0.999957263
timeStamp= 1305033527.769942999; T[0]= -0.003636165; T[1]= 0.020118443; T[2]= -0.016261743; x= -0.011876054; y=  0.006455883; z=  0.002424945; w= 0.999905705
timeStamp= 1305033527.801980972; T[0]= -0.003840445; T[1]= 0.024567122; T[2]= -0.020960562; x= -0.015808325; y=  0.008470292; z=  0.001323036; w= 0.999838293
timeStamp= 1305033527.833906889; T[0]= -0.004688954; T[1]= 0.027735597; T[2]= -0.025013464; x= -0.019786047; y=  0.010710504; z=  0.002437378; w= 0.999743879
timeStamp= 1305033527.869940996; T[0]= -0.004515398; T[1]= 0.030934161; T[2]= -0.029179774; x= -0.022768186; y=  0.012569861; z=  0.005666420; w= 0.999645650
timeStamp= 1305033527.901959896; T[0]= -0.003278495; T[1]= 0.032771133; T[2]= -0.032427289; x= -0.025446896; y=  0.014887951; z=  0.010669302; w= 0.999508381
timeStamp= 1305033527.933928967; T[0]= -0.003416742; T[1]= 0.035591401; T[2]= -0.035503272; x= -0.026699828; y=  0.017700154; z=  0.015566770; w= 0.999365568
timeStamp= 1305033527.969980001; T[0]= -0.003465680; T[1]= 0.037673421; T[2]= -0.037620582; x= -0.028388131; y=  0.019787826; z=  0.019732349; w= 0.999206305
timeStamp= 1305033528.002018929; T[0]= -0.003838731; T[1]= 0.040229615; T[2]= -0.039689202; x= -0.029202586; y=  0.021622738; z=  0.022340160; w= 0.999089897
timeStamp= 1305033528.034008980; T[0]= -0.005832359; T[1]= 0.040785387; T[2]= -0.041184399; x= -0.031406663; y=  0.023390861; z=  0.023998411; w= 0.998944759
timeStamp= 1305033528.070091009; T[0]= -0.006013959; T[1]= 0.040972374; T[2]= -0.041684173; x= -0.032575104; y=  0.023955129; z=  0.025162354; w= 0.998865306
timeStamp= 1305033528.102035999; T[0]= -0.005937144; T[1]= 0.040023483; T[2]= -0.041156393; x= -0.033881638; y=  0.024236655; z=  0.026212336; w= 0.998788059
timeStamp= 1305033528.133965015; T[0]= -0.005021124; T[1]= 0.037561007; T[2]= -0.040258251; x= -0.034543931; y=  0.024680529; z=  0.026999556; w= 0.998733521
timeStamp= 1305033528.169886112; T[0]= -0.005539062; T[1]= 0.034093793; T[2]= -0.038210690; x= -0.033669300; y=  0.025696762; z=  0.027961468; w= 0.998711288
timeStamp= 1305033528.202011108; T[0]= -0.005336772; T[1]= 0.032132335; T[2]= -0.035807032; x= -0.031992853; y=  0.025712999; z=  0.029943902; w= 0.998708487
timeStamp= 1305033528.234025955; T[0]= -0.004817510; T[1]= 0.030460715; T[2]= -0.032167450; x= -0.030196713; y=  0.024404986; z=  0.031574029; w= 0.998747051
timeStamp= 1305033528.269953012; T[0]= -0.000736141; T[1]= 0.029736347; T[2]= -0.027871957; x= -0.028937161; y=  0.022197699; z=  0.030884320; w= 0.998857379
timeStamp= 1305033528.301989079; T[0]= 0.003490416; T[1]= 0.025098002; T[2]= -0.023054071; x= -0.028912790; y=  0.022569163; z=  0.028257675; w= 0.998927534
timeStamp= 1305033528.333972931; T[0]= 0.003607360; T[1]= 0.023788007; T[2]= -0.016873963; x= -0.027787929; y=  0.024717037; z=  0.026226994; w= 0.998963952
timeStamp= 1305033528.369960070; T[0]= 0.004643540; T[1]= 0.017835300; T[2]= -0.011672755; x= -0.028804682; y=  0.025031283; z=  0.025625702; w= 0.998942971
timeStamp= 1305033528.402060986; T[0]= 0.008047928; T[1]= 0.013280205; T[2]= -0.006080014; x= -0.027621243; y=  0.024403807; z=  0.024885220; w= 0.999010623
timeStamp= 1305033528.433943987; T[0]= 0.010871639; T[1]= 0.008203348; T[2]= 0.000072182; x= -0.026403617; y=  0.024509594; z=  0.024162939; w= 0.999058723
timeStamp= 1305033528.470017910; T[0]= 0.011763982; T[1]= 0.003467941; T[2]= 0.007388868; x= -0.025124889; y=  0.025146693; z=  0.023347333; w= 0.999095261
timeStamp= 1305033528.502259970; T[0]= 0.013574055; T[1]= -0.000531666; T[2]= 0.014361390; x= -0.024090409; y=  0.024068046; z=  0.023556162; w= 0.999142408
timeStamp= 1305033528.534013987; T[0]= 0.016576305; T[1]= -0.006915639; T[2]= 0.022118839; x= -0.024045616; y=  0.021921864; z=  0.022946393; w= 0.999207020
timeStamp= 1305033528.570000887; T[0]= 0.020270066; T[1]= -0.014048236; T[2]= 0.030577820; x= -0.023002042; y=  0.019443577; z=  0.021294193; w= 0.999319494
timeStamp= 1305033528.601902008; T[0]= 0.023560347; T[1]= -0.021976255; T[2]= 0.039298385; x= -0.021418866; y=  0.017029718; z=  0.018168412; w= 0.999460399
timeStamp= 1305033528.633991003; T[0]= 0.026449522; T[1]= -0.028622314; T[2]= 0.048054654; x= -0.019698929; y=  0.014476774; z=  0.015986292; w= 0.999573290
timeStamp= 1305033528.669998884; T[0]= 0.032019835; T[1]= -0.033862732; T[2]= 0.056411061; x= -0.019269623; y=  0.011281479; z=  0.016700514; w= 0.999611199
timeStamp= 1305033528.702008009; T[0]= 0.039273396; T[1]= -0.044553738; T[2]= 0.065331243; x= -0.020404613; y=  0.009533836; z=  0.018920306; w= 0.999567270
timeStamp= 1305033528.734047890; T[0]= 0.044060215; T[1]= -0.050553966; T[2]= 0.074358180; x= -0.019050773; y=  0.009056082; z=  0.020306323; w= 0.999571264
timeStamp= 1305033528.770045042; T[0]= 0.051297154; T[1]= -0.059109636; T[2]= 0.083772048; x= -0.019583022; y=  0.007456668; z=  0.020812429; w= 0.999563754
