timeStamp= 1305031229.528748; T[0]= 0.000000000; T[1]= 0.000000000; T[2]= 0.000000000; x= 0.000000000; y=  0.000000000; z=  0.000000000; w= 1.000000000
timeStamp= 1305031229.564424992; T[0]= -0.010996677; T[1]= 0.010258664; T[2]= 0.021613343; x= 0.001167072; y=  -0.031128749; z=  0.004868774; w= 0.999502838
timeStamp= 1305031229.596600056; T[0]= 0.001906955; T[1]= -0.004381830; T[2]= 0.008318196; x= -0.005701067; y=  -0.062359314; z=  0.009611374; w= 0.997991204
timeStamp= 1305031229.628752947; T[0]= -0.006982942; T[1]= 0.004676534; T[2]= 0.014293613; x= -0.005536285; y=  -0.077362403; z=  0.013247255; w= 0.996899605
timeStamp= 1305031229.664657116; T[0]= 0.020884853; T[1]= -0.027469661; T[2]= 0.013805169; x= -0.018406887; y=  -0.109258838; z=  0.009087572; w= 0.993801355
timeStamp= 1305031229.696826935; T[0]= 0.026534600; T[1]= -0.027784633; T[2]= 0.019905211; x= -0.019362153; y=  -0.123267002; z=  0.013811297; w= 0.992088497
timeStamp= 1305031229.729063988; T[0]= -0.019963950; T[1]= 0.009557180; T[2]= 0.024174836; x= -0.003508451; y=  -0.126247749; z=  0.018576618; w= 0.991818607
timeStamp= 1305031229.764847994; T[0]= 0.008690950; T[1]= -0.005046260; T[2]= 0.022355994; x= -0.009969625; y=  -0.157878712; z=  0.023344314; w= 0.987132192
timeStamp= 1305031229.796909094; T[0]= -0.001165212; T[1]= -0.005566222; T[2]= 0.025231535; x= -0.010176643; y=  -0.170929581; z=  0.026402289; w= 0.984876871
timeStamp= 1305031229.825613022; T[0]= -0.013079736; T[1]= -0.007505458; T[2]= 0.021366639; x= -0.010903372; y=  -0.189212531; z=  0.031194797; w= 0.981379986
timeStamp= 1305031229.863054991; T[0]= -0.012166964; T[1]= -0.008592149; T[2]= 0.024698114; x= -0.011924189; y=  -0.212264538; z=  0.036512241; w= 0.976457119
timeStamp= 1305031229.896929026; T[0]= -0.014906524; T[1]= -0.008843386; T[2]= 0.022307307; x= -0.011494935; y=  -0.232829705; z=  0.040802069; w= 0.971593201
timeStamp= 1305031229.926248074; T[0]= -0.016351657; T[1]= -0.011569609; T[2]= 0.022164725; x= -0.012648500; y=  -0.258581161; z=  0.045465395; w= 0.964836061
timeStamp= 1305031229.966160059; T[0]= -0.016255789; T[1]= -0.011271264; T[2]= 0.020907827; x= -0.013004490; y=  -0.281498641; z=  0.050455295; w= 0.958145976
timeStamp= 1305031229.997916937; T[0]= -0.012487120; T[1]= -0.011996412; T[2]= 0.023219064; x= -0.013607036; y=  -0.302939624; z=  0.052966882; w= 0.951439440
timeStamp= 1305031230.029990911; T[0]= -0.014679219; T[1]= -0.009474618; T[2]= 0.030807372; x= -0.011926893; y=  -0.321268827; z=  0.054180160; w= 0.945361614
timeStamp= 1305031230.065686941; T[0]= -0.014406463; T[1]= -0.012321269; T[2]= 0.031434424; x= -0.012752311; y=  -0.337550759; z=  0.056694511; w= 0.939511895
timeStamp= 1305031230.098242044; T[0]= -0.017612655; T[1]= -0.007247383; T[2]= 0.031065585; x= -0.009945278; y=  -0.351515502; z=  0.059297230; w= 0.934249341
timeStamp= 1305031230.129919052; T[0]= -0.019228159; T[1]= -0.009020317; T[2]= 0.028790541; x= -0.011245052; y=  -0.364979923; z=  0.060237348; w= 0.928996563
timeStamp= 1305031230.165771008; T[0]= -0.020892911; T[1]= -0.010678823; T[2]= 0.028276108; x= -0.012617163; y=  -0.378558993; z=  0.061189745; w= 0.923466146
timeStamp= 1305031230.197772026; T[0]= -0.022434868; T[1]= -0.010212664; T[2]= 0.027817342; x= -0.011740906; y=  -0.392424524; z=  0.061549075; w= 0.917647421
timeStamp= 1305031230.229830027; T[0]= -0.024988785; T[1]= -0.012628048; T[2]= 0.023882110; x= -0.013062820; y=  -0.405464232; z=  0.062832743; w= 0.911855340
timeStamp= 1305031230.265579939; T[0]= -0.026336886; T[1]= -0.011368994; T[2]= 0.022851083; x= -0.012410739; y=  -0.420251489; z=  0.064326957; w= 0.905039608
timeStamp= 1305031230.297981977; T[0]= -0.028356001; T[1]= -0.012534065; T[2]= 0.022678901; x= -0.014129178; y=  -0.435218632; z=  0.065960608; w= 0.897794127
timeStamp= 1305031230.325685024; T[0]= -0.028512478; T[1]= -0.016363921; T[2]= 0.020795949; x= -0.014728737; y=  -0.449947178; z=  0.068194762; w= 0.890325785
timeStamp= 1305031230.365649939; T[0]= -0.030173106; T[1]= -0.014116718; T[2]= 0.017380051; x= -0.013598916; y=  -0.464497864; z=  0.069712549; w= 0.882721364
timeStamp= 1305031230.397264957; T[0]= -0.032563880; T[1]= -0.013552702; T[2]= 0.020547884; x= -0.014916746; y=  -0.481900066; z=  0.072489388; w= 0.873095155
timeStamp= 1305031230.425669909; T[0]= -0.033801101; T[1]= -0.015567504; T[2]= 0.016343052; x= -0.017239105; y=  -0.498137027; z=  0.075520873; w= 0.863631248
timeStamp= 1305031230.465219975; T[0]= -0.039355136; T[1]= -0.015849335; T[2]= 0.010055553; x= -0.018926660; y=  -0.517122030; z=  0.079186529; w= 0.852030516
timeStamp= 1305031230.497227907; T[0]= -0.038740478; T[1]= -0.015509812; T[2]= 0.016673762; x= -0.020681363; y=  -0.544093668; z=  0.079931788; w= 0.834952235
timeStamp= 1305031230.526720047; T[0]= -0.041992053; T[1]= -0.018417519; T[2]= 0.016306024; x= -0.024231780; y=  -0.568992138; z=  0.083185531; w= 0.817765772
timeStamp= 1305031230.566083908; T[0]= -0.054633155; T[1]= -0.016080363; T[2]= -0.001387855; x= -0.024297716; y=  -0.586255848; z=  0.086278535; w= 0.805151939
timeStamp= 1305031230.598824978; T[0]= -0.049784239; T[1]= -0.017586870; T[2]= 0.012359764; x= -0.026748948; y=  -0.615291476; z=  0.085125260; w= 0.783233464
timeStamp= 1305031230.626028061; T[0]= -0.054202192; T[1]= -0.015251430; T[2]= 0.010157377; x= -0.026827371; y=  -0.636090875; z=  0.085536219; w= 0.766389072
timeStamp= 1305031230.665795088; T[0]= -0.059624013; T[1]= -0.010096245; T[2]= 0.009126096; x= -0.026759554; y=  -0.654284894; z=  0.084831230; w= 0.750998616
