timeStamp= 1305031102.175304; T[0]= 0.000000000; T[1]= 0.000000000; T[2]= 0.000000000; x= 0.000000000; y=  0.000000000; z=  0.000000000; w= 1.000000000
timeStamp= 1305031102.211214066; T[0]= -0.001714114; T[1]= 0.007971887; T[2]= 0.009736991; x= -0.002111411; y=  -0.003089144; z=  -0.001359597; w= 0.999992073
timeStamp= 1305031102.275326014; T[0]= -0.001787068; T[1]= 0.007783013; T[2]= 0.036306076; x= -0.014004091; y=  -0.009332657; z=  -0.000229539; w= 0.999858379
timeStamp= 1305031102.311266899; T[0]= -0.001546605; T[1]= 0.004935219; T[2]= 0.049314093; x= -0.019319372; y=  -0.011526307; z=  0.000516173; w= 0.999746740
timeStamp= 1305031102.343233109; T[0]= -0.001719916; T[1]= 0.006234211; T[2]= 0.061013747; x= -0.021117881; y=  -0.013581890; z=  0.002281773; w= 0.999682128
timeStamp= 1305031102.375329018; T[0]= -0.001614674; T[1]= 0.007248867; T[2]= 0.074096896; x= -0.023126008; y=  -0.015712922; z=  0.002368885; w= 0.999606252
timeStamp= 1305031102.411257982; T[0]= -0.005889310; T[1]= 0.011425570; T[2]= 0.084358484; x= -0.024110328; y=  -0.017262567; z=  0.001176315; w= 0.999559522
timeStamp= 1305031102.443270922; T[0]= -0.005165667; T[1]= 0.020118121; T[2]= 0.095953867; x= -0.027354361; y=  -0.021327764; z=  0.001478148; w= 0.999397159
timeStamp= 1305031102.475317955; T[0]= -0.002971164; T[1]= 0.018547822; T[2]= 0.110409595; x= -0.035508275; y=  -0.024177652; z=  0.001252952; w= 0.999076068
timeStamp= 1305031102.511219025; T[0]= -0.001428402; T[1]= 0.017897028; T[2]= 0.119839869; x= -0.040698841; y=  -0.023754003; z=  0.000054618; w= 0.998889089
timeStamp= 1305031102.575285912; T[0]= -0.001874305; T[1]= 0.011236562; T[2]= 0.148123905; x= -0.049340218; y=  -0.020808248; z=  -0.003257681; w= 0.998559952
timeStamp= 1305031102.611232996; T[0]= -0.002625649; T[1]= 0.010608422; T[2]= 0.159026295; x= -0.046310224; y=  -0.018138686; z=  -0.002366342; w= 0.998759627
timeStamp= 1305031102.675285101; T[0]= -0.008863188; T[1]= 0.021926122; T[2]= 0.184659302; x= -0.043802761; y=  -0.017281540; z=  -0.000832658; w= 0.998890400
timeStamp= 1305031102.711262941; T[0]= -0.009089123; T[1]= 0.022012586; T[2]= 0.198430672; x= -0.044799563; y=  -0.017771710; z=  0.000407828; w= 0.998837829
timeStamp= 1305031102.743233919; T[0]= -0.008574009; T[1]= 0.030522276; T[2]= 0.210857153; x= -0.043890741; y=  -0.018287426; z=  0.002038762; w= 0.998866856
timeStamp= 1305031102.775471926; T[0]= -0.006335100; T[1]= 0.029490136; T[2]= 0.225546092; x= -0.047172647; y=  -0.016936621; z=  0.000597400; w= 0.998742998
timeStamp= 1305031102.811232090; T[0]= -0.007975118; T[1]= 0.034376785; T[2]= 0.239020213; x= -0.047200907; y=  -0.013621361; z=  -0.000990910; w= 0.998792052
timeStamp= 1305031102.843290091; T[0]= -0.007076484; T[1]= 0.033724960; T[2]= 0.250566393; x= -0.050176274; y=  -0.010027776; z=  -0.001220485; w= 0.998689294
timeStamp= 1305031102.875363111; T[0]= -0.011338934; T[1]= 0.038138978; T[2]= 0.261479944; x= -0.048153296; y=  -0.005828902; z=  -0.004101510; w= 0.998814523
timeStamp= 1305031102.911185026; T[0]= -0.011154040; T[1]= 0.041964665; T[2]= 0.269489020; x= -0.046837859; y=  -0.004951913; z=  -0.005183307; w= 0.998876750
timeStamp= 1305031102.975203037; T[0]= -0.025932411; T[1]= 0.049463488; T[2]= 0.294800639; x= -0.046346005; y=  -0.007411813; z=  -0.007676784; w= 0.998868465
timeStamp= 1305031103.011214972; T[0]= -0.024666145; T[1]= 0.052154064; T[2]= 0.305882394; x= -0.047734525; y=  -0.014474742; z=  -0.004306347; w= 0.998745859
timeStamp= 1305031103.043226957; T[0]= -0.025248762; T[1]= 0.055351973; T[2]= 0.316544414; x= -0.049289312; y=  -0.020470707; z=  -0.001704995; w= 0.998573244
timeStamp= 1305031103.075319052; T[0]= -0.019022016; T[1]= 0.054639660; T[2]= 0.327318758; x= -0.050046124; y=  -0.025724007; z=  0.001250707; w= 0.998414814
timeStamp= 1305031103.111239910; T[0]= -0.020406554; T[1]= 0.062666401; T[2]= 0.334388018; x= -0.047104742; y=  -0.024828857; z=  0.002160988; w= 0.998578966
timeStamp= 1305031103.143317938; T[0]= -0.020008165; T[1]= 0.064047143; T[2]= 0.344590485; x= -0.049273532; y=  -0.025003441; z=  0.003703153; w= 0.998465419
timeStamp= 1305031103.175451994; T[0]= -0.021331022; T[1]= 0.070989795; T[2]= 0.351746947; x= -0.048263121; y=  -0.023002196; z=  0.003712563; w= 0.998562872
timeStamp= 1305031103.243216038; T[0]= -0.023594245; T[1]= 0.079458565; T[2]= 0.367233604; x= -0.059856277; y=  -0.022049980; z=  0.008698800; w= 0.997925520
timeStamp= 1305031103.275369883; T[0]= -0.029474877; T[1]= 0.080210306; T[2]= 0.375278205; x= -0.069194913; y=  -0.023216408; z=  0.010536338; w= 0.997277319
timeStamp= 1305031103.311209917; T[0]= -0.027206264; T[1]= 0.073810697; T[2]= 0.380394876; x= -0.078124709; y=  -0.034100160; z=  0.011458545; w= 0.996294320
timeStamp= 1305031103.343223095; T[0]= -0.020830577; T[1]= 0.076400146; T[2]= 0.380892217; x= -0.077998556; y=  -0.039985690; z=  0.012596224; w= 0.996071637
timeStamp= 1305031103.375327110; T[0]= -0.019895250; T[1]= 0.074654669; T[2]= 0.381849915; x= -0.082309082; y=  -0.038567819; z=  0.014221967; w= 0.995758772
timeStamp= 1305031103.411259890; T[0]= -0.020849653; T[1]= 0.069263831; T[2]= 0.381281614; x= -0.085337386; y=  -0.038012963; z=  0.015095657; w= 0.995512247
timeStamp= 1305031103.443279982; T[0]= -0.022005862; T[1]= 0.068281613; T[2]= 0.377270937; x= -0.084583990; y=  -0.040157985; z=  0.014423348; w= 0.995502293
timeStamp= 1305031103.475274086; T[0]= -0.020845238; T[1]= 0.063435487; T[2]= 0.373004138; x= -0.085378610; y=  -0.043354452; z=  0.012867578; w= 0.995321691
timeStamp= 1305031103.511332989; T[0]= -0.020410499; T[1]= 0.058592644; T[2]= 0.366730839; x= -0.083414026; y=  -0.044996973; z=  0.010477852; w= 0.995443404
timeStamp= 1305031103.543443918; T[0]= -0.020413535; T[1]= 0.052925840; T[2]= 0.358914167; x= -0.080005817; y=  -0.046091873; z=  0.008534417; w= 0.995691597
timeStamp= 1305031103.575474024; T[0]= -0.022341447; T[1]= 0.051095352; T[2]= 0.348124146; x= -0.074892715; y=  -0.046616372; z=  0.008733871; w= 0.996063113
timeStamp= 1305031103.611222982; T[0]= -0.023308836; T[1]= 0.046026982; T[2]= 0.338665426; x= -0.073123656; y=  -0.049478877; z=  0.010084628; w= 0.996043742
timeStamp= 1305031103.643445015; T[0]= -0.022035070; T[1]= 0.041355357; T[2]= 0.327860326; x= -0.070673682; y=  -0.053944379; z=  0.010815823; w= 0.995981038
timeStamp= 1305031103.675523043; T[0]= -0.019347537; T[1]= 0.037526019; T[2]= 0.316372126; x= -0.067983337; y=  -0.057023719; z=  0.011200223; w= 0.995992541
timeStamp= 1305031103.711610079; T[0]= -0.017041327; T[1]= 0.033796649; T[2]= 0.304338157; x= -0.065627195; y=  -0.058399200; z=  0.011169754; w= 0.996071219
timeStamp= 1305031103.743325949; T[0]= -0.015265154; T[1]= 0.027052645; T[2]= 0.293112487; x= -0.063968375; y=  -0.058458015; z=  0.010115305; w= 0.996186972
timeStamp= 1305031103.775341988; T[0]= -0.014265087; T[1]= 0.025895815; T[2]= 0.278009474; x= -0.059885934; y=  -0.057980027; z=  0.006993603; w= 0.996495366
timeStamp= 1305031103.811242104; T[0]= -0.013056304; T[1]= 0.025285145; T[2]= 0.263466835; x= -0.059245929; y=  -0.056933034; z=  0.004009259; w= 0.996610522
timeStamp= 1305031103.843250990; T[0]= -0.015490703; T[1]= 0.026548810; T[2]= 0.249268070; x= -0.060877509; y=  -0.055928092; z=  0.001461626; w= 0.996576071
timeStamp= 1305031103.875360966; T[0]= -0.015166672; T[1]= 0.015395567; T[2]= 0.239892900; x= -0.069255032; y=  -0.059607271; z=  -0.002018593; w= 0.995814562
timeStamp= 1305031103.911221027; T[0]= -0.014997793; T[1]= 0.006303411; T[2]= 0.226736397; x= -0.070132330; y=  -0.063117184; z=  -0.003327913; w= 0.995533347
timeStamp= 1305031103.943211079; T[0]= -0.012746948; T[1]= 0.003230885; T[2]= 0.211945206; x= -0.068074383; y=  -0.066203415; z=  -0.003966965; w= 0.995473385
timeStamp= 1305031103.975373030; T[0]= -0.010717342; T[1]= -0.003418561; T[2]= 0.198254615; x= -0.067017525; y=  -0.068243295; z=  -0.005198733; w= 0.995401680
timeStamp= 1305031104.011231899; T[0]= -0.005092245; T[1]= -0.012065142; T[2]= 0.186542302; x= -0.064764157; y=  -0.069659829; z=  -0.005678973; w= 0.995450079
timeStamp= 1305031104.043248892; T[0]= -0.000907240; T[1]= -0.014328830; T[2]= 0.170622185; x= -0.057141840; y=  -0.067163713; z=  -0.007305010; w= 0.996077538
timeStamp= 1305031104.075424910; T[0]= 0.002796190; T[1]= -0.013576619; T[2]= 0.154826254; x= -0.052026663; y=  -0.063214317; z=  -0.009724530; w= 0.996595502
timeStamp= 1305031104.111234903; T[0]= 0.006933695; T[1]= -0.019642942; T[2]= 0.143216297; x= -0.049600638; y=  -0.058184177; z=  -0.010941357; w= 0.997012854
timeStamp= 1305031104.143229961; T[0]= 0.004879858; T[1]= -0.024678946; T[2]= 0.129396558; x= -0.045214579; y=  -0.051568307; z=  -0.012579046; w= 0.997566104
timeStamp= 1305031104.175424099; T[0]= 0.003709991; T[1]= -0.027010798; T[2]= 0.115233511; x= -0.040859181; y=  -0.047771178; z=  -0.013670066; w= 0.997928679
timeStamp= 1305031104.211282969; T[0]= 0.004581422; T[1]= -0.031942874; T[2]= 0.102697641; x= -0.037255038; y=  -0.045218389; z=  -0.013504121; w= 0.998190880
timeStamp= 1305031104.243196011; T[0]= 0.005267734; T[1]= -0.034137756; T[2]= 0.089806862; x= -0.032455701; y=  -0.042886876; z=  -0.013524838; w= 0.998461008
timeStamp= 1305031104.275546074; T[0]= 0.006621467; T[1]= -0.035666853; T[2]= 0.076940991; x= -0.027742032; y=  -0.040444627; z=  -0.014463089; w= 0.998691857
timeStamp= 1305031104.311218977; T[0]= 0.007536781; T[1]= -0.036960810; T[2]= 0.064600319; x= -0.023822634; y=  -0.037137169; z=  -0.014653212; w= 0.998918712
timeStamp= 1305031104.343342066; T[0]= 0.008748371; T[1]= -0.037229739; T[2]= 0.052589763; x= -0.020306230; y=  -0.033038817; z=  -0.015134550; w= 0.999133110
timeStamp= 1305031104.375837088; T[0]= 0.008629201; T[1]= -0.038073529; T[2]= 0.041743983; x= -0.018339971; y=  -0.028052850; z=  -0.014922577; w= 0.999326766
timeStamp= 1305031104.411509037; T[0]= 0.005726657; T[1]= -0.037957970; T[2]= 0.031432740; x= -0.016493123; y=  -0.023476230; z=  -0.014612839; w= 0.999481499
