timeStamp= 1341841278.842669; T[0]= 0.000000000; T[1]= 0.000000000; T[2]= 0.000000000; x= 0.000000000; y=  0.000000000; z=  0.000000000; w= 1.000000000
timeStamp= 1341841278.875262022; T[0]= -0.005897104; T[1]= 0.005452781; T[2]= -0.001844153; x= 0.006783097; y=  0.001684918; z=  0.000096735; w= 0.999975562
timeStamp= 1341841278.906584024; T[0]= -0.009045516; T[1]= 0.001546425; T[2]= -0.006993273; x= 0.006381652; y=  0.003749407; z=  0.005463012; w= 0.999957681
timeStamp= 1341841278.942692041; T[0]= -0.018311638; T[1]= -0.000806579; T[2]= -0.008228589; x= 0.007249760; y=  0.005592101; z=  0.012329196; w= 0.999882102
timeStamp= 1341841278.974623919; T[0]= -0.023600725; T[1]= -0.000690533; T[2]= -0.008133871; x= 0.008916111; y=  0.005841953; z=  0.015608651; w= 0.999821365
timeStamp= 1341841279.010804892; T[0]= -0.029381435; T[1]= 0.002807506; T[2]= -0.010385577; x= 0.010274591; y=  0.009002232; z=  0.017242024; w= 0.999758005
timeStamp= 1341841279.042520046; T[0]= -0.035985257; T[1]= 0.002282835; T[2]= -0.008967643; x= 0.009538429; y=  0.011343750; z=  0.018585665; w= 0.999717414
timeStamp= 1341841279.074531078; T[0]= -0.040353585; T[1]= -0.000822150; T[2]= -0.004286035; x= 0.008219814; y=  0.010930890; z=  0.019584108; w= 0.999714673
timeStamp= 1341841279.110964060; T[0]= -0.046618052; T[1]= 0.000332265; T[2]= -0.007070252; x= 0.008779674; y=  0.011721959; z=  0.018256629; w= 0.999726057
timeStamp= 1341841279.142622948; T[0]= -0.053676039; T[1]= 0.002489504; T[2]= -0.009996139; x= 0.008746183; y=  0.014799335; z=  0.019756809; w= 0.999657035
timeStamp= 1341841279.178574085; T[0]= -0.059956670; T[1]= -0.001126440; T[2]= -0.004954726; x= 0.006216662; y=  0.016092233; z=  0.025215613; w= 0.999533176
timeStamp= 1341841279.210829020; T[0]= -0.061676312; T[1]= -0.007727310; T[2]= 0.016919089; x= 0.004358143; y=  0.013253008; z=  0.029835157; w= 0.999457479
timeStamp= 1341841279.242660999; T[0]= -0.076143533; T[1]= -0.003149432; T[2]= -0.003640225; x= 0.007792129; y=  0.018658036; z=  0.025891244; w= 0.999460280
timeStamp= 1341841279.278670073; T[0]= -0.082186177; T[1]= -0.002966396; T[2]= -0.003843328; x= 0.008654947; y=  0.021469232; z=  0.025933050; w= 0.999395609
timeStamp= 1341841279.311288118; T[0]= -0.089356832; T[1]= -0.006193343; T[2]= 0.000197484; x= 0.008662587; y=  0.023498503; z=  0.028599566; w= 0.999277174
timeStamp= 1341841279.342740059; T[0]= -0.096416786; T[1]= -0.010174673; T[2]= 0.003539836; x= 0.009621009; y=  0.026195614; z=  0.032586865; w= 0.999079227
timeStamp= 1341841279.378490925; T[0]= -0.103458561; T[1]= -0.011170778; T[2]= 0.005544357; x= 0.010836750; y=  0.029758677; z=  0.034790821; w= 0.998892665
timeStamp= 1341841279.410868883; T[0]= -0.109658517; T[1]= -0.013556586; T[2]= 0.008161029; x= 0.010677587; y=  0.032179769; z=  0.037492592; w= 0.998721540
timeStamp= 1341841279.446607113; T[0]= -0.114348292; T[1]= -0.019572468; T[2]= 0.015231443; x= 0.009809575; y=  0.033064999; z=  0.039426584; w= 0.998627067
timeStamp= 1341841279.478507042; T[0]= -0.124558143; T[1]= -0.022147445; T[2]= 0.019197764; x= 0.012480807; y=  0.037059702; z=  0.045022603; w= 0.998220265
timeStamp= 1341841279.510715008; T[0]= -0.131972343; T[1]= -0.027390551; T[2]= 0.019952543; x= 0.013334812; y=  0.039477296; z=  0.048516627; w= 0.997952819
timeStamp= 1341841279.546720028; T[0]= -0.137451649; T[1]= -0.032837734; T[2]= 0.025848158; x= 0.013008546; y=  0.039460570; z=  0.049614474; w= 0.997903824
timeStamp= 1341841279.578738928; T[0]= -0.145019591; T[1]= -0.032074817; T[2]= 0.026511863; x= 0.013516678; y=  0.042230133; z=  0.047995001; w= 0.997862935
timeStamp= 1341841279.610884905; T[0]= -0.152565747; T[1]= -0.035891466; T[2]= 0.029232072; x= 0.013136274; y=  0.044808853; z=  0.050895400; w= 0.997611761
timeStamp= 1341841279.646536112; T[0]= -0.157271460; T[1]= -0.046114795; T[2]= 0.039368987; x= 0.011239251; y=  0.045065418; z=  0.054783542; w= 0.997417450
timeStamp= 1341841279.679183006; T[0]= -0.165546760; T[1]= -0.048280194; T[2]= 0.039958145; x= 0.011102722; y=  0.047661368; z=  0.055314824; w= 0.997268975
timeStamp= 1341841279.714518070; T[0]= -0.173819646; T[1]= -0.052124903; T[2]= 0.042109884; x= 0.008605523; y=  0.050972275; z=  0.056838702; w= 0.997044206
timeStamp= 1341841279.746633053; T[0]= -0.180129990; T[1]= -0.058656532; T[2]= 0.052716851; x= 0.006443492; y=  0.052441563; z=  0.060326591; w= 0.996779323
timeStamp= 1341841279.778543949; T[0]= -0.189584523; T[1]= -0.062846489; T[2]= 0.056137405; x= 0.007497384; y=  0.054531865; z=  0.062961489; w= 0.996496856
timeStamp= 1341841279.815171003; T[0]= -0.199180812; T[1]= -0.064661518; T[2]= 0.056553707; x= 0.008775856; y=  0.058219176; z=  0.064178310; w= 0.996200144
timeStamp= 1341841279.846577883; T[0]= -0.208312586; T[1]= -0.069061428; T[2]= 0.058325499; x= 0.008540667; y=  0.061382487; z=  0.065706775; w= 0.995912611
